Category,Title,Price (INR),Description,Image URL
Bicycle, Mountain Bike, 124500, A durable mountain bike designed for off-road cycling., https://example.com/mountain_bike.jpg
Bicycle, Road Bike, 99600, A lightweight road bike ideal for long rides., https://example.com/road_bike.jpg
Bicycle, Hybrid Bike, 74700, A versatile hybrid bike for commuting and light trails., https://example.com/hybrid_bike.jpg
Car, Luxury Sedan, 166600, A luxury sedan with advanced features for comfort., https://example.com/luxury_sedan.jpg
Car, Sports Car, 2499000, A high-performance sports car for speed and handling., https://example.com/sports_car.jpg
Car, Electric Sedan, 2075000, An electric sedan with zero emissions and great efficiency., https://example.com/electric_sedan.jpg
Motorbike, Cruiser Motorbike, 249900, A cruiser motorbike known for its stylish design and comfort., https://example.com/cruiser_motorbike.jpg
Motorbike, Sport Motorbike, 415500, A sport motorbike built for speed and agility., https://example.com/sport_motorbike.jpg
Motorbike, Touring Motorbike, 581100, A touring motorbike designed for long-distance rides., https://example.com/touring_motorbike.jpg
Airplane, Commercial Airplane, 4150000, A large commercial airplane for transporting passengers., https://example.com/commercial_airplane.jpg
Airplane, Private Jet, 83000000, A private jet providing luxury and speed for personal use., https://example.com/private_jet.jpg
Airplane, Cargo Plane, 16600000, A cargo plane used for transporting goods., https://example.com/cargo_plane.jpg
Bus, City Bus, 4980000, A city bus designed for short urban commutes., https://example.com/city_bus.jpg
Bus, Double Decker Bus, 6640000, A double-decker bus for high-capacity urban transport., https://example.com/double_decker_bus.jpg
Bus, Electric Bus, 5810000, An electric bus that is eco-friendly and quiet., https://example.com/electric_bus.jpg
Train, High-Speed Train, 8300000, A high-speed train designed for fast intercity travel., https://example.com/high_speed_train.jpg
Train, Bullet Train, 4150000, A bullet train offering high-speed travel on dedicated tracks., https://example.com/bullet_train.jpg
Train, Steam Train, 1666000, A steam-powered train offering a historic ride., https://example.com/steam_train.jpg
Truck, Pickup Truck, 2499000, A pickup truck designed for personal and light business use., https://example.com/pickup_truck.jpg
Truck, Dump Truck, 2074000, A dump truck for transporting heavy loads of material., https://example.com/dump_truck.jpg
Truck, Delivery Truck, 8300000, A delivery truck used for transporting goods over long distances., https://example.com/delivery_truck.jpg
Boat, Yacht, 1245000, A yacht for luxury cruising on the water., https://example.com/yacht.jpg
Boat, Speed Boat, 4150000, A speed boat for fast boating and water sports., https://example.com/speed_boat.jpg
Boat, Sailboat, 1660000, A sailboat for leisurely sailing and racing., https://example.com/sailboat.jpg
Wine Glass, Red Wine Glass, 2499, A fine red wine glass to enhance the drinking experience., https://example.com/red_wine_glass.jpg
Wine Glass, White Wine Glass, 1245, A white wine glass with a slender design., https://example.com/white_wine_glass.jpg
Wine Glass, Crystal Wine Glass, 249, A crystal wine glass ideal for fine wines and occasions., https://example.com/crystal_wine_glass.jpg
Cup, Coffee Cup, 830, A simple coffee cup for daily use., https://example.com/coffee_cup.jpg
Cup, Tea Cup, 664, A tea cup for enjoying your favorite tea., https://example.com/tea_cup.jpg
Cup, Mug, 996, A versatile mug for both hot and cold beverages., https://example.com/mug.jpg
Fork, Stainless Steel Fork, 1500, A stainless steel fork for eating various meals., https://example.com/stainless_steel_fork.jpg
Fork, Salad Fork, 2499, A salad fork designed for eating leafy greens., https://example.com/salad_fork.jpg
Fork, Dessert Fork, 3299, A dessert fork for enjoying sweet treats., https://example.com/dessert_fork.jpg
Knife, Kitchen Knife, 4999, A kitchen knife for food preparation., https://example.com/kitchen_knife.jpg
Knife, Steak Knife, 3299, A steak knife for cutting through meats with ease., https://example.com/steak_knife.jpg
Knife, Paring Knife, 2499, A paring knife for precise cutting and peeling., https://example.com/paring_knife.jpg
Spoon, Soup Spoon, 12450, A soup spoon designed for soups and broths., https://example.com/soup_spoon.jpg
Spoon, Tea Spoon, 32999, A tea spoon for stirring and serving tea., https://example.com/tea_spoon.jpg
Spoon, Serving Spoon, 4999, A large serving spoon for serving main dishes., https://example.com/serving_spoon.jpg
Bowl, Soup Bowl, 4999, A classic soup bowl for enjoying hot soups., https://example.com/soup_bowl.jpg
Bowl, Salad Bowl, 18999, A salad bowl perfect for serving fresh salads., https://example.com/salad_bowl.jpg
Bowl, Pasta Bowl, 5999, A pasta bowl designed for serving pasta dishes., https://example.com/pasta_bowl.jpg
Banana, Ripe Banana, 249, A ripe banana rich in potassium and vitamins., https://example.com/ripe_banana.jpg
Banana, Green Banana, 166, A green banana with a firmer texture and slightly tart taste., https://example.com/green_banana.jpg
Banana, Frozen Banana, 332, A frozen banana used in smoothies and desserts., https://example.com/frozen_banana.jpg
Keyboard, Wireless Keyboard, 830, A wireless keyboard for a clean and uncluttered workspace., https://example.com/wireless_keyboard.jpg
Keyboard, Mechanical Keyboard, 664, A mechanical keyboard known for its tactile feedback and durability., https://example.com/mechanical_keyboard.jpg
Keyboard, Ergonomic Keyboard, 996, An ergonomic keyboard designed for comfort., https://example.com/ergonomic_keyboard.jpg
Cell Phone, Smartphone, 1500, A smartphone with the latest features and capabilities., https://example.com/smartphone.jpg
Cell Phone, Budget Smartphone, 2499, A budget smartphone for basic daily tasks., https://example.com/budget_smartphone.jpg
Cell Phone, Flagship Smartphone, 3299, A flagship smartphone with top-tier specs and features., https://example.com/flagship_smartphone.jpg
Laptop, Gaming Laptop, 12450, A gaming laptop designed for high performance., https://example.com/gaming_laptop.jpg
Laptop, Ultrabook Laptop, 32999, An ultrabook laptop for lightweight portability and power., https://example.com/ultrabook_laptop.jpg
Laptop, Business Laptop, 4999, A business laptop with security and reliability features., https://example.com/business_laptop.jpg
Mouse, Gaming Mouse, 4999, A gaming mouse with precision and customizable buttons., https://example.com/gaming_mouse.jpg
Mouse, Wireless Mouse, 18999, A wireless mouse offering smooth control., https://example.com/wireless_mouse.jpg
Mouse, Ergonomic Mouse, 5999, An ergonomic mouse to reduce strain during extended use., https://example.com/ergonomic_mouse.jpg
TV, OLED TV, 24900, An OLED TV offering vibrant colors and sharp contrasts., https://example.com/oled_tv.jpg
TV, LED TV, 42990, A LED TV with excellent picture quality for home entertainment., https://example.com/led_tv.jpg
TV, 4K TV, 12490, A 4K TV for ultra-high-definition viewing., https://example.com/4k_tv.jpg
Microwave, Countertop Microwave, 2300, A countertop microwave for fast heating and cooking., https://example.com/countertop_microwave.jpg
Microwave, Compact Microwave, 2499, A compact microwave perfect for smaller kitchens., https://example.com/compact_microwave.jpg
Microwave, Convection Microwave, 4999, A convection microwave that combines microwave and convection cooking., https://example.com/convection_microwave.jpg
Refrigerator, Side-by-Side Refrigerator, 18999, A side-by-side refrigerator for spacious storage., https://example.com/side_by_side_refrigerator.jpg
Refrigerator, French Door Refrigerator, 5999, A French door refrigerator with a modern design and ample space., https://example.com/french_door_refrigerator.jpg
Refrigerator, Compact Refrigerator, 9999, A compact refrigerator for small spaces and apartments., https://example.com/compact_refrigerator.jpg
Oven, Convection Oven, 24900, A convection oven for baking roasting and broiling., https://example.com/convection_oven.jpg
Oven, Toaster Oven, 42990, A toaster oven for quick and even toasting., https://example.com/toaster_oven.jpg
Oven, Microwave Oven, 12490, A microwave oven offering quick cooking with high efficiency., https://example.com/microwave_oven.jpg
Washing Machine, Front Load Washing Machine, 2300, A front-load washing machine for superior cleaning., https://example.com/front_load_washing_machine.jpg
